Soru_No,Baslik,Aciklama_No,Aciklama_Metin,Ornek_Metin,Yorum,Soru,Sik_A,Sik_B,Sik_C,Sik_D,Dogru_Cevap
21,Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri,7-4,"Açıklama: Maçın belirlenmiş başlama saatinden en az 10 dakika önce, her takımın başantrenörü maça başlayacak olan 5 oyuncusunu belirtecektir. Maç başlamadan önce sayı görevlisi bu 5 oyuncuyla ilgili yanlışlık olup olmadığını kontrol edecek ve yanlışlık varsa, hemen en yakın hakemi bilgilendirecektir. Eğer hata, maçın başlamasından önce fark edilirse, ilk 5 başlayan oyuncular düzeltilecektir. Eğer hata, maçın başlamasından sonra fark edilirse, hata dikkate alınmayacaktır.","Sahada bulunan bir oyuncunun, oyuna başlayacak 5 oyuncudan birisi olmadığı fark edilir. Bu, şu durumlarda gerçekleşirse: (a) Oyun başlamadan önce. (b) Oyun başlamadıktan sonra.","(a) Bu oyuncu, herhangi bir yaptırım olmadan, maça başlaması gereken 5 oyuncudan birisi ile değiştirilecektir. (b) Hata dikkate alınmaz. Maç herhangi bir cezai yaptırım olmadan devam eder.","Sahada bulunan bir oyuncunun, oyuna başlayacak 5 oyuncudan birisi olmadığı fark edilir. Bu, şu durumlarda gerçekleşirse ne yapılır: (a) Oyun başlamadan önce. (b) Oyun başladıktan sonra?","Oyun başlamadan önce fark edilirse, bu oyuncu herhangi bir yaptırım olmadan, maça başlaması gereken 5 oyuncudan birisi ile değiştirilir.","Oyun başladıktan sonra fark edilirse, oyuncu hemen saha dışına alınır ve takım bir teknik faul ile cezalandırılır.","Oyun başlamadan önce fark edilirse, takım bir teknik faul ile cezalandırılır.","Oyun başladıktan sonra fark edilirse, hata dikkate alınmaz ve maç herhangi bir cezai yaptırım olmadan devam eder.",A
22,Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri,7-4,"Açıklama: Maçın belirlenmiş başlama saatinden en az 10 dakika önce, her takımın başantrenörü maça başlayacak olan 5 oyuncusunu belirtecektir. Maç başlamadan önce sayı görevlisi bu 5 oyuncuyla ilgili yanlışlık olup olmadığını kontrol edecek ve yanlışlık varsa, hemen en yakın hakemi bilgilendirecektir. Eğer hata, maçın başlamasından önce fark edilirse, ilk 5 başlayan oyuncular düzeltilecektir. Eğer hata, maçın başlamasından sonra fark edilirse, hata dikkate alınmayacaktır.",Başantrenör sayı görevlisinden maç kağıdına maça başlayacak 5 oyuncusu için küçük ‘x’ koymasını ister.,Başantrenör kişisel olarak maça başlayacak 5 oyuncusu için maç kağıdında ‘Giren oyuncu’ bölümündeki oyuncunun numarasının yanına küçük ‘x’ koyarak işaretleyecektir.,"Başantrenör, maça başlayacak 5 oyuncusu için sayı görevlisinden ne yapmasını ister?","Başantrenör, sayı görevlisinden maça başlayacak 5 oyuncusu için küçük ‘x’ koymasını ister.","Başantrenör, sayı görevlisinden maça başlayacak oyuncuların isimlerini yüksek sesle okumasını ister.","Başantrenör, sayı görevlisinden oyuncuların numaralarını maç kağıdına yazmasını ister.","Başantrenör, sayı görevlisinden oyuncuların isimlerinin yanına büyük ‘X’ koymasını ister.",A
23,Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri,7-4,"Açıklama: Maçın belirlenmiş başlama saatinden en az 10 dakika önce, her takımın başantrenörü maça başlayacak olan 5 oyuncusunu belirtecektir. Maç başlamadan önce sayı görevlisi bu 5 oyuncuyla ilgili yanlışlık olup olmadığını kontrol edecek ve yanlışlık varsa, hemen en yakın hakemi bilgilendirecektir. Eğer hata, maçın başlamasından önce fark edilirse, ilk 5 başlayan oyuncular düzeltilecektir. Eğer hata, maçın başlamasından sonra fark edilirse, hata dikkate alınmayacaktır.",A takımının başantrenörü ve A takımının birinci yardımcı antrenörü diskalifiye edilir.,"A takımı kaptanı, A takımı oyuncu-başantrenörü olarak devam edecektir.","A takımının başantrenörü ve A takımının birinci yardımcı antrenörü diskalifiye edilirse, A takımı kim tarafından yönetilecektir?","A takımı kaptanı, A takımı oyuncu-başantrenörü olarak devam edecektir.",A takımının ikinci yardımcı antrenörü takımı yönetecektir.,A takımının menajeri takımı yönetecektir.,A takımının en deneyimli oyuncusu takımı yönetecektir.,A
24,"Madde 8 Oyun süresi, eşitlik ve uzatma",8-1,"Açıklama: Oyun arası şu durumlarda başlar: • Oyunun belirlenmiş başlama saatinden 20 dakika önce. • Oyun saati, çeyreğin ya da uzatmanın sonu için sesli işaret verdiğinde. • Arkalığın çevresi kırmızı ışıkla donatıldığında ışık, oyun saatinin sesli işaretinden öncelikli olacaktır.","B1, A1 atış halindeyken, oyun saati çeyreğin sonu için sesli işaretini vermeden önce faul yapar. (a) Başarısız bir şut girişimi sırasında (b) Başarılı bir şut girişimi sırasında","B1'in faulünün oyun saatinin çeyreğin sonu için sesli işareti vermesinden önce yapılıp yapılmadığı konusunda hakemler hemen birbirlerine danışacaklardır. B1'in faulünün oyun saati sesli işaretini vermeden önce olduğuna karar verirlerse B1’e bir kişisel faul verilecektir ve; (a) A1, 2 serbest atış kullanacaktır (b) A1’in sayısı geçerli sayılacak. A1, 1 serbest atış kullanacaktır. Oyun saati faulün yapıldığı zamana kadar olan süreye ayarlanacaktır. Oyun herhangi bir son serbest atıştan sonra olduğu gibi devam edecektir. B1'in faulünün oyun saati sesli işaretini verdikten sonra olduğuna karar verirlerse faul dikkate alınmayacaktır. Şut girişimi başarılı olmuşsa sayı geçerli sayılmayacaktır. Eğer B1'in faulü sportmenlik dışı veya diskalifiye edici faul kriterlerini karşılıyorsa ve sonrasında bir çeyrek veya uzatma oynanacaksa B1'in faulü göz ardı edilmeyecek ve buna göre cezası bir sonraki çeyrek ya da uzatma başlamadan önce uygulanacaktır. Faul, bir sonraki çeyrekte B takımının takım faulleri olarak sayılacaktır.","B1, A1 atış halindeyken oyun saati çeyreğin sonu için sesli işaretini vermeden önce faul yaparsa, (a) başarısız bir şut girişimi sırasında (b) başarılı bir şut girişimi sırasında ne olur?","A1, 2 serbest atış kullanır ve başarılı bir şut girişiminde sayı geçerli sayılır.","B1'in faulü dikkate alınmaz, şut girişimi başarısızsa sayı geçerli sayılmaz.","A1, 3 serbest atış kullanır ve başarılı bir şut girişiminde sayı geçersiz sayılır.",B1'e bir kişisel faul verilir ve oyun saati faulün yapıldığı zamana ayarlanır.,A
25,"Madde 8 Oyun süresi, eşitlik ve uzatma",8-1,"Açıklama: Oyun arası şu durumlarda başlar: • Oyunun belirlenmiş başlama saatinden 20 dakika önce. • Oyun saati, çeyreğin ya da uzatmanın sonu için sesli işaret verdiğinde. • Arkalığın çevresi kırmızı ışıkla donatıldığında ışık, oyun saatinin sesli işaretinden öncelikli olacaktır.","A1, 3 sayılık atış için bir şut girişiminde bulunur. Oyun saati oyunun sonu için sesli işaret verdiğinde top havadadır. Sesli işaretten sonra B1, hala havada olan A1'e bir faul yapar. Top sepetten içeri girer.","A1'e 3 sayı verilecektir. B1'in A1'e yaptığı faul oyun süresinin bitiminden sonra meydana geldiği için, B1 tarafından yapılan faul sportmenlik dışı veya diskalifiye edici faul kriterlerini karşılamadığı sürece ve devamında başka bir çeyrek veya uzatma oynanmayacaksa dikkate alınmayacaktır.","A1, 3 sayılık atış için bir şut girişiminde bulunur. Oyun saati oyunun sonu için sesli işaret verdiğinde top havadadır. Sesli işaretten sonra B1, hala havada olan A1'e bir faul yapar. Top sepetten içeri girer. Bu durumda ne olur?","A1'e 3 sayı verilecektir, B1'in faulü dikkate alınmayacaktır.","A1'e 3 sayı verilmeyecek, faul nedeniyle B1'e teknik faul verilecektir.",A1'e 3 sayı verilmeyecek ve faul nedeniyle A1 serbest atış kullanacaktır.,A1'e 3 sayı verilecek ve faul nedeniyle A1'e ek serbest atış hakkı verilecektir.,A
26,"Madde 9 Bir çeyreğin, uzatmanın ya da oyunun başlaması ve sona ermesi",9-1,"Açıklama: Maç, her bir takımın oyun sahasında oynama hakkı bulunan en az 5 oyuncu ile oynamaya hazır olmadıkça başlamayacaktır.","İkinci devrenin başında A takımının sakatlıklar, diskalifiyeler, vb. nedenlerle sahada oynamaya hazır 5 oyuncusu bulunamaz.","En az 5 oyuncu olma zorunluluğu sadece oyunun başında geçerlidir, A takımı 5’ten daha az oyuncu ile oynamaya devam edebilir.","İkinci devrenin başında A takımının sakatlıklar, diskalifiyeler, vb. nedenlerle sahada oynamaya hazır 5 oyuncusu bulunamazsa ne olur?",Maç başlatılamaz çünkü her iki takımın da en az 5 oyuncusu olmalıdır.,A takımı 5’ten daha az oyuncu ile oynamaya devam edebilir.,Maç otomatik olarak ertelenir.,A takımı hükmen mağlup sayılır.,B
27,"Madde 9 Bir çeyreğin, uzatmanın ya da oyunun başlaması ve sona ermesi",9-1,"Açıklama: Maç, her bir takımın oyun sahasında oynama hakkı bulunan en az 5 oyuncu ile oynamaya hazır olmadıkça başlamayacaktır.","Oyunun sonuna doğru A1, beşinci faulünü alır ve oyunu terk eder. A takımının başka bir yedek oyuncusu olmadığından sadece 4 oyuncusu kalmıştır. B takımı büyük bir sayı farkıyla önde olduğundan B takımı başantrenörü adil oyun adına, 4 oyuncuyla oynayarak devam etmek için bir oyuncusunu çıkarmak ister.",B takımı başantrenörünün 5’ten daha az oyuncuyla oynama isteği reddedilecektir. Bir takımın yeterli oyuncusu olduğu sürece sahada 5 oyuncusu olacaktır.,"Oyunun sonuna doğru A1, beşinci faulünü alır ve oyunu terk eder. A takımının başka bir yedek oyuncusu olmadığından sadece 4 oyuncusu kalmıştır. B takımı büyük bir sayı farkıyla önde olduğundan B takımı başantrenörü adil oyun adına, 4 oyuncuyla oynayarak devam etmek için bir oyuncusunu çıkarmak ister. Bu durumda ne yapılmalıdır?",B takımı başantrenörünün isteği kabul edilir ve her iki takım da 4 oyuncuyla oynamaya devam eder.,B takımı başantrenörünün isteği reddedilir ve B takımı 5 oyuncuyla oynamaya devam eder.,B takımı başantrenörünün isteği kabul edilir ancak A takımı 5 oyuncu bulana kadar oyun durdurulur.,B takımı başantrenörünün isteği kabul edilmez ancak B takımının isteğiyle oyun durdurulur.,B
28,"Madde 9 Bir çeyreğin, uzatmanın ya da oyunun başlaması ve sona ermesi",9-4,"Açıklama: Madde 9, bir takımın hangi sepeti savunacağını ve hangi sepete hücum edeceğini açıklar. Herhangi bir çeyrek ya da uzatma başında, iki takım karıştırarak yanlış sepetlere hücum/savunma yaparlarsa, bu durum fark edildiğinde her iki takım dezavantajlı duruma düşürülmeden hemen düzeltilecektir. Oyun durmadan önceki sayılar, geçen süre, yapılan fauller, vb. geçerli olur.","Oyun başladıktan sonra hakemler, takımların yanlış yöne doğru oynadıklarını fark ederler.","Oyun, herhangi bir takımı dezavantajlı duruma düşürmeden hemen durdurulacaktır. Takımlar oyunun yönünü düzelteceklerdir. Oyun, oyunun durdurduğu yere karşılık gelen yerin tam zıt tarafından devam edecektir.","Oyun başladıktan sonra hakemler, takımların yanlış yöne doğru oynadıklarını fark ederler. Bu durumda ne yapılmalıdır?","Oyun durdurulmalı, takımların yönü düzeltilmeli ve oyun, oyunun durdurduğu yere karşılık gelen yerin tam zıt tarafından devam etmelidir.","Oyun durdurulmalı ve takımların yönü düzeltilmeli, ancak oyun aynı yerden devam etmelidir.","Oyun durdurulmadan devam etmeli, sadece bir sonraki mola sırasında takımlar bilgilendirilmelidir.",Oyun durdurulmalı ve yanlış yöne oynanan süre hesaptan düşülmelidir.,A
29,"Madde 9 Bir çeyreğin, uzatmanın ya da oyunun başlaması ve sona ermesi",9-6,"Açıklama: Oyun, orta dairede yapılacak bir hava atışıyla başlayacaktır.","Maç öncesi oyun arası sırasında A1’e bir teknik faul verilir. Maç başlamadan önce B takımı başantrenörü B6’nın 1 serbest atış atacağını belirtir ancak B6, takımın oyuna başlayacak 5 oyuncusundan birisi değildir.","Sadece B takımının oyuna başlayacak 5 oyuncusundan birisi, kimse dizilmeden serbest atışı kullanacaktır. Oyun saati başlamadan önce değişikliğe izin verilmez. Oyun bir hava atışı ile başlayacaktır.","Maç öncesi oyun arası sırasında A1’e bir teknik faul verilir. Maç başlamadan önce B takımı başantrenörü B6’nın 1 serbest atış atacağını belirtir ancak B6, takımın oyuna başlayacak 5 oyuncusundan birisi değildir. Bu durumda ne yapılmalıdır?",B6 serbest atışı kullanır ve oyun hava atışı ile başlar.,B takımının oyuna başlayacak 5 oyuncusundan birisi serbest atışı kullanır ve oyun hava atışı ile başlar.,B6 serbest atışı kullanır ve oyun B takımının topa sahip olmasıyla başlar.,"Oyun hava atışı ile başlar, ardından B6 serbest atışı kullanır.",B
30,"Madde 9 Bir çeyreğin, uzatmanın ya da oyunun başlaması ve sona ermesi",9-6,"Açıklama: Oyun, orta dairede yapılacak bir hava atışıyla başlayacaktır.","Maç öncesi oyun arası sırasında A1, B1’e bir sportmenlik dışı faul yapar.","Maç başlamadan önce, B1 kimse dizilmeden 2 serbest atış kullanacaktır. Eğer B1 oyuna başlayacak 5 oyuncudan birisi olarak belirtilmişse B1 sahada kalacaktır. Eğer B1 oyuna başlayacak 5 oyuncudan birisi olarak belirtilmemişse B1 sahada kalmayacaktır. Oyun bir hava atışı ile başlayacaktır.","Maç öncesi oyun arası sırasında A1, B1’e bir sportmenlik dışı faul yaparsa, oyun nasıl başlayacaktır?",B1 kimse dizilmeden 2 serbest atış kullanır ve oyun hava atışı ile başlar.,B1 kimse dizilmeden 2 serbest atış kullanır ve oyun B1'in takımı tarafından kenardan başlatılır.,A1 kimse dizilmeden 2 serbest atış kullanır ve oyun hava atışı ile başlar.,"Oyun hemen hava atışı ile başlar, B1 herhangi bir serbest atış kullanmaz.",A
31,"Madde 9 Bir çeyreğin, uzatmanın ya da oyunun başlaması ve sona ermesi",9-9,"Açıklama: Maçtan önceki oyun arası sırasında, oyuna başlayacak ilk 5 oyuncudan biri olarak belirlenen bir oyuncu oyuna başlayamaz veya oyuna başlama hakkını yitirirse başka bir oyuncu ile değiştirilecektir. Bu durumda rakipler isterlerse, oyuna başlayacak ilk 5 oyuncusundan bir oyuncuyu değiştirme hakkına sahiptir.","A1, A takımının oyuna başlayacak ilk 5 oyuncusundan biridir. Maçtan 7 dakika önce, oyun arası sırasında; (a) A1 sakatlanır. (b) A1'e bir diskalifiye edici faul verilir","Her iki durumda da A1, başka bir A takımı oyuncusu ile değiştirilecektir. Bu durumda B takımı isterse oyuna başlayacak ilk 5 oyuncusundan birini değiştirme hakkına sahiptir.","A takımının oyuna başlayacak ilk 5 oyuncusundan biri olan A1, maçtan 7 dakika önce oyun arası sırasında sakatlanır veya A1'e bir diskalifiye edici faul verilir. Bu durumda ne olur?","A1, başka bir A takımı oyuncusu ile değiştirilecek ve B takımı isterse ilk 5'inden birini değiştirme hakkına sahiptir.","A1, başka bir A takımı oyuncusu ile değiştirilecek ancak B takımı ilk 5'inden oyuncu değiştiremez.",A1 oyuna devam eder ve B takımı ilk 5'inden bir oyuncu değiştirebilir.,A1 oyuna devam eder ve B takımı ilk 5'inden oyuncu değiştiremez.,A
32,Madde 10 Topun statüsü,10-1,"Açıklama: Bir oyuncu atış halinde olduğunda ve savunma takımının bir oyuncusu şut girişimindeki oyuncunun devam eden hareketi başladıktan sonra herhangi bir rakibe bir faul yaptığında, atış halinde olan oyuncu devam eden hareketiyle şut girişimini tamamladığında top ölmez ve sayı olmuşsa geçerli sayılır. Bu açıklama, savunma takımının bir oyuncusuna veya takım sıra bölgesinde oturmaya izinli herhangi bir kişiye bir teknik faul verilmesinde de aynı şekilde geçerlidir.","B2, A2’ye faul yaptığında A1 atış halindedir. A1, devam eden hareketiyle atışını tamamlar. (a) Bu, B takımının o çeyrekteki üçüncü takım faulüdür. (b) Bu, B takımının o çeyrekteki beşinci takım faulüdür.","Her iki durumda da A1’in atışı başarılı olursa sayı geçerli olacaktır. (a) Oyun, B2 tarafından yapılan faulün meydana geldiği en yakın yerden A takımının topu oyuna sokmasıyla devam edecektir. (b) A2, 2 serbest atış kullanacaktır. Oyun herhangi bir son serbest atıştan sonra olduğu gibi devam edecektir.","B2, A2’ye faul yaptığında A1 atış halindedir. A1, devam eden hareketiyle atışını tamamlar. (a) Bu, B takımının o çeyrekteki üçüncü takım faulüdür. (b) Bu, B takımının o çeyrekteki beşinci takım faulüdür. Bu durumlarda ne olur?","A1'in atışı başarılı olursa sayı geçerli olur. (a) Oyun, B2 tarafından yapılan faulün meydana geldiği en yakın yerden A takımının topu oyuna sokmasıyla devam eder. (b) A2, 2 serbest atış kullanır.","A1'in atışı başarılı olursa sayı geçerli olmaz. (a) Oyun, B2 tarafından yapılan faulün meydana geldiği en yakın yerden B takımının topu oyuna sokmasıyla devam eder. (b) A2, 2 serbest atış kullanmaz.","A1'in atışı başarılı olursa sayı geçerli olur. (a) Oyun, A takımının herhangi bir oyuncusu tarafından yapılan faulün olduğu yerden devam eder. (b) A2, 1 serbest atış kullanır.","A1'in atışı başarısız olursa sayı geçerli olur. (a) Oyun, B2 tarafından yapılan faulün meydana geldiği en uzak yerden A takımının topu oyuna sokmasıyla devam eder. (b) A2, 3 serbest atış kullanır.",A
